date,high,low,open,close,volume,quoteVolume,weightedAverage
1477951200,0.01565014,0.01565014,0.01565014,0.01565014,0.0,0.0,0.01565014
1477958400,0.015799,0.01396937,0.01565043,0.01476,14202.92758439,966416.16070628,0.01469649
1478044800,0.01552473,0.0145,0.01476,0.01450001,6001.97078439,399806.89102795,0.01501217
1478131200,0.01612043,0.01449258,0.0145,0.01567324,9558.55635599,622237.43593053,0.01536158
1478217600,0.016,0.015392310000000001,0.01567586,0.01587054,4817.47922232,306474.91776068,0.01571899
1478304000,0.01589944,0.01552001,0.015823999999999998,0.015712,2303.24230237,146505.02951698,0.01572125
1478390400,0.01577581,0.015280000000000002,0.01573872,0.01529012,2400.91479171,155170.9576581,0.015472699999999999
1478476800,0.0158,0.01523333,0.01528006,0.015477,2001.469966,129387.76542217,0.01546877
1478563200,0.01558881,0.015040000000000001,0.01545002,0.01523277,3311.27143076,216446.55250478,0.01529833
1478649600,0.01527735,0.01395,0.01523277,0.01478958,9333.8349353,645841.34454551,0.01445221
1478736000,0.01497589,0.014554099999999999,0.014750570000000001,0.01470099,2231.81930378,150964.80282,0.014783699999999999
1478822400,0.01484627,0.014293460000000001,0.014700000000000001,0.01435001,3493.48853294,240596.92009385,0.01452008
1478908800,0.014620000000000001,0.013670000000000002,0.01435043,0.01402201,6438.43979289,456117.95515977,0.01411573
1478995200,0.015089970000000001,0.01400302,0.01402201,0.014360000000000001,5354.20679133,367214.57278615,0.014580590000000001
1479081600,0.01450846,0.014122,0.014360000000000001,0.01413501,1751.7894377,122677.33643476,0.01427965
1479168000,0.014511940000000001,0.01384167,0.01414528,0.0143609,3786.50379265,266324.06019002,0.01421765
1479254400,0.014560730000000001,0.01323001,0.0143609,0.01351701,6419.03605676,462694.07501291,0.01387317
1479340800,0.01368497,0.013059890000000001,0.013517020000000001,0.01349798,3642.10134025,271867.03709853,0.01339662
1479427200,0.01359858,0.0123,0.01349798,0.01259995,6939.25528931,540023.38144695,0.01284991
1479513600,0.0130995,0.0125572,0.01259998,0.012820000000000002,2520.08920634,195922.50697213,0.01286268
1479600000,0.01336969,0.01261521,0.012834990000000001,0.01310014,3006.16725423,230342.36776585,0.013050860000000001
1479686400,0.01322499,0.01282002,0.01310038,0.01301079,1564.77565471,120338.85612462,0.01300307
1479772800,0.013840000000000002,0.01270685,0.01300403,0.013190799999999999,7154.74847728,536618.27019072,0.013333030000000001
1479859200,0.013470590000000001,0.012990110000000001,0.013190799999999999,0.013221,2337.27302924,176423.02775013,0.01324811
1479945600,0.013243,0.011,0.013215999999999999,0.01247099,9469.65623634,759236.35941995,0.012472599999999999
1480032000,0.01328372,0.01241308,0.012458780000000001,0.01266583,4520.74442111,352680.58547995,0.01281824
1480118400,0.01295257,0.01254343,0.01266424,0.01261566,1524.81142986,119904.1277692,0.01271692
1480204800,0.01279781,0.01185344,0.01262621,0.012241430000000001,4821.49195881,393858.43238771,0.01224168
1480291200,0.01231998,0.0118,0.01231998,0.01184203,3093.45701299,258335.47286526,0.01197457
1480377600,0.0119005,0.010111,0.01184203,0.011070000000000002,10599.80865997,958951.32522579,0.01105354
1480464000,0.01191502,0.01105031,0.01106095,0.011507,6929.31785497,604036.82021542,0.01147168
1480550400,0.01159599,0.01098,0.01150697,0.011163890000000001,3508.74210004,311231.49537063,0.011273730000000001
1480636800,0.011179,0.0094,0.011163890000000001,0.00999506,11806.61763457,1168036.568211,0.01010808
1480723200,0.0107238,0.00996,0.00999507,0.01027459,8766.84281786,849240.28539163,0.01032315
1480809600,0.01038313,0.00956,0.01027459,0.009630000000000001,5939.2157509,600334.53945691,0.00989317
1480896000,0.01007575,0.00863997,0.00960122,0.008976999999999999,11693.42513434,1250292.791458,0.00935254
1480982400,0.01043988,0.0076,0.008976999999999999,0.01033318,35272.5698927,3946572.6703786,0.008937510000000001
1481068800,0.01119798,0.00958,0.01033319,0.01091903,14840.30439423,1436849.342551,0.01032836
1481155200,0.01157992,0.01062222,0.01091903,0.01062222,10892.09539897,982818.96965059,0.0110825
1481241600,0.01127002,0.01042658,0.010631999999999999,0.010897210000000001,9259.91422921,848165.28043848,0.01091758
1481328000,0.01102995,0.01029807,0.01090495,0.01049026,5184.497894,487473.42567484,0.01063544
1481414400,0.01079592,0.01043761,0.01048812,0.010645990000000001,3443.76252226,323569.98811759,0.01064302
1481500800,0.01119232,0.01052339,0.0106357,0.010921,5818.45842999,536927.95020205,0.01083657
1481587200,0.01094985,0.0106425,0.010938970000000001,0.01076511,2162.04275035,200972.54134595,0.010757899999999999
1481673600,0.01101,0.01049976,0.01076511,0.01054682,3472.73660035,323604.78301641,0.01073141
1481760000,0.01057916,0.00987,0.01056999,0.01007653,6768.94891184,665485.08154565,0.01017145
1481846400,0.010180000000000002,0.00987821,0.010077,0.010005,2240.91944695,223560.85883086,0.01002375
1481932800,0.01004999,0.00922,0.01003194,0.009880120000000001,4404.84655485,455017.14673979,0.009680610000000001
1482019200,0.01009809,0.009725290000000001,0.00988016,0.00996499,2751.32733768,276501.25044755,0.0099505
1482105600,0.009965,0.00954002,0.00996498,0.0096311,2919.41074413,299622.98308844,0.00974361
1482192000,0.00988825,0.00942669,0.009637950000000001,0.009575,2396.33416952,249383.75852533,0.00960902
1482278400,0.00971581,0.00945,0.009597099999999999,0.009474999999999999,3930.69718834,412125.1128373,0.00953763
1482364800,0.00950721,0.008555,0.009474999999999999,0.00876501,9707.08316286,1082941.3093019,0.00896362
1482451200,0.00876501,0.00769247,0.008765,0.00774715,10685.96286224,1310338.2481627,0.00815511
1482537600,0.0082975,0.00770875,0.0077471400000000004,0.00808,3775.98368154,467808.94735844,0.00807163
1482624000,0.008400000000000001,0.00795486,0.008076390000000001,0.007975,4896.97777285,592860.11502221,0.00825992
1482710400,0.0082099,0.00777945,0.007980000000000001,0.008042230000000001,2887.58714787,360735.18807715,0.00800472
1482796800,0.00816026,0.007522,0.00803237,0.00765869,4419.68057584,570229.72456825,0.007750699999999999
1482883200,0.008088999999999999,0.00730204,0.00765899,0.007695,8774.33534161,1149513.9762901,0.00763308
1482969600,0.0089,0.0076875,0.007695,0.00851328,13804.1652248,1641390.1696394,0.00841004
1483056000,0.00897,0.00840201,0.00851204,0.008490000000000001,5123.83008817,589186.56414225,0.00869644
1483142400,0.00862798,0.00825101,0.00848081,0.00833002,2082.87971904,248030.18975555,0.00839768
